ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",3,"Travessa Francisco Souza Aguiar, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",3,"Rua Carolina Santos, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",3,"Rua Recanto do Mar, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",3,"Rua São Mateus, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Rua G, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Rua B, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Rua I, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Avenida A, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Rua C, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Travessa A01, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Avenida H, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",4,"Rua Maria Ceris dos Santos, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Quintino Bocaiuva, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
Luiz Pereira ,"R. Quintino Bocaiúva, 292-314 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Prefeito+Luiz+Pereira+da+Silva/@-10.8408632,-37.0948677,3a,75y,128.18h,90.8t/data=!3m7!1e1!3m5!1sEHCbMGKiver3Qf3a5hH2EQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.7994430332429232%26panoid%3DEHCbMGKiver3Qf3a5hH2EQ%26yaw%3D128.17785915266631!7i16384!8i8192!4m10!1m2!2m1!1subs+luiz+pereira!3m6!1s0x7054d0889e5748d:0x774db0aba08c72eb!8m2!3d-10.8409373!4d-37.0948918!15sChB1YnMgbHVpeiBwZXJlaXJhkgEVcHVibGljX21lZGljYWxfY2VudGVy4AEA!16s%2Fg%2F11dfttg7z1?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Josefa Pereira Góes, Taiçoca de Fora, Nossa Senhora do Socorro - SE"
